ComuneCercaOLD,Comune_residenza_old_MANUALE,appoggio,Comune_residenza,Frequenza sinistri 2021,Costo Medio Totale 2021,Veicoli Anno 2021,Frequenza sinistri 2020,Costo Medio totale 2020,Veicoli Anno 2020,Frequenza sinistri 2019,Costo Medio totale 2019,Veicoli Anno 2019,Frequenza sinistri 2018,Costo Medio totale 2018,Veicoli Anno 2018,Regione,Provincia,Zona
Ponso,,,Ponso,0.041867031,2645.538462,1242.027397,0.034976598,3000.72093,1229.393443,0.046862929,7210.672414,1237.652055,0.042799597,2379.372549,1191.6,Veneto,Padova,Nord-est
Castelfidardo,,,Castelfidardo,0.039274251,5892.222527,9268.158904,0.035821744,3162.290323,9519.357923,0.055965984,8378.175824,9755.926027,0.05603066,3202.977358,9459.106849,Marche,Ancona,Centro
Castelleone di Suasa,,,Castelleone di Suasa,0.033301977,22626.7931,870.8191781,0.022315236,11335.85,896.2486339,0.034856569,7496.354839,889.3589041,0.035497894,3310.033333,845.1205479,Marche,Ancona,Centro
Corinaldo,,,Corinaldo,0.033800671,5280.150538,2751.424658,0.019573104,4029.62963,2758.887978,0.035857997,4214.919192,2760.890411,0.038123662,3926.648936,2465.660274,Marche,Ancona,Centro
Filottrano,,,Filottrano,0.039293623,4919.112195,5217.131507,0.032922654,5191.930636,5254.740437,0.046081285,5021.91358,5273.290411,0.045724238,3452.109705,5183.246575,Marche,Ancona,Centro
Collevecchio,,,Collevecchio,0.045482016,2927.45,879.4684932,0.041089032,4340.081081,900.4836066,0.045741306,3238.682927,896.3452055,0.044132145,2149.179487,883.709589,Lazio,Rieti,Centro
Monte San Vito,,,Monte San Vito,0.036862906,4398.51049,3879.238356,0.037257897,3314.386207,3891.79235,0.046099276,3789.090395,3839.539726,0.056389098,5712.333333,3617.720548,Marche,Ancona,Centro
Maiolati Spontini,,,Maiolati Spontini,0.036893551,3744.368852,3306.810959,0.030554509,4673.067961,3371.02459,0.048341051,3876.351852,3351.189041,0.046519016,3338.811594,2966.528767,Marche,Ancona,Centro
Fabriano,,,Fabriano,0.034237702,3347.829225,16589.89863,0.029835268,7065.888438,16524.06831,0.041919434,3534.45245,16555.56712,0.04074291,2995.790274,16150.04932,Marche,Ancona,Centro
Jesi,,,Jesi,0.047676103,3507.168611,19779.30137,0.038631087,3683.284416,19932.13388,0.055882563,4077.451932,19916.76712,0.056615849,3547.429799,18493.05479,Marche,Ancona,Centro
Mergo,,,Mergo,0.035422277,3542,564.6164384,0.012916041,2485.857143,541.9617486,0.034513305,3147.842105,550.5123288,0.031333546,5860.5,446.8054795,Marche,Ancona,Centro
Montecarotto,,,Montecarotto,0.031020229,2318.727273,1063.821918,0.026629249,3682.535714,1051.47541,0.048187387,4665.269231,1079.120548,0.050484664,2745.020408,970.5917808,Marche,Ancona,Centro
Montemarciano,,,Montemarciano,0.044429506,6404.779279,4996.679452,0.039836799,12965.17822,5070.688525,0.057226079,5014.132653,5137.517808,0.056775802,4540.75502,4385.671233,Marche,Ancona,Centro
Monte Roberto,,,Monte Roberto,0.034496138,3774.017544,1652.358904,0.028657295,30762.3617,1640.071038,0.04883474,4204.3875,1638.178082,0.059022852,2943.602273,1490.947945,Marche,Ancona,Centro
Sant'Angelo a Scala,,,Sant'Angelo a Scala,0.056993509,1933.333333,368.4630137,0.060656281,3768.521739,379.1857923,0.049011293,5337.684211,387.6657534,0.047657389,4713.5,377.6958904,Campania,Avellino,Sud
Colli sul Velino,,,Colli sul Velino,0.068399293,6274.5,233.9205479,0.016632584,3027,240.4918033,0.04941057,1984.666667,242.8630137,0.035747952,4177.25,223.7890411,Lazio,Rieti,Centro
